group,idx,asset,entry,exit,net,reason,hold_sec
A,0,A00,0.45,0.20,-2.53200000000,StopLoss,4
A,1,A01,0.42,0.60,1.72800000000,TrailingStop,8
A,2,A02,0.42,0.60,1.72800000000,TrailingStop,8
A,3,A03,0.42,0.60,1.72800000000,TrailingStop,8
A,4,A04,0.42,0.60,1.72800000000,TrailingStop,8
A,5,A05,0.42,0.60,1.72800000000,TrailingStop,8
A,6,A06,0.42,0.60,1.72800000000,TrailingStop,8
A,7,A07,0.45,0.20,-2.53200000000,StopLoss,4
A,8,A08,0.42,0.60,1.72800000000,TrailingStop,8
A,9,A09,0.42,0.60,1.72800000000,TrailingStop,8
A,10,A10,0.42,0.60,1.72800000000,TrailingStop,8
A,11,A11,0.42,0.60,1.72800000000,TrailingStop,8
A,12,A12,0.42,0.60,1.72800000000,TrailingStop,8
A,13,A13,0.42,0.60,1.72800000000,TrailingStop,8
A,14,A14,0.45,0.20,-2.53200000000,StopLoss,4
A,15,A15,0.42,0.60,1.72800000000,TrailingStop,8
A,16,A16,0.42,0.60,1.72800000000,TrailingStop,8
A,17,A17,0.42,0.60,1.72800000000,TrailingStop,8
A,18,A18,0.42,0.60,1.72800000000,TrailingStop,8
A,19,A19,0.42,0.60,1.72800000000,TrailingStop,8
A,20,A20,0.42,0.60,1.72800000000,TrailingStop,8
A,21,A21,0.45,0.20,-2.53200000000,StopLoss,4
A,22,A22,0.42,0.60,1.72800000000,TrailingStop,8
A,23,A23,0.42,0.60,1.72800000000,TrailingStop,8
A,24,A24,0.42,0.60,1.72800000000,TrailingStop,8
A,25,A25,0.42,0.60,1.72800000000,TrailingStop,8
A,26,A26,0.42,0.60,1.72800000000,TrailingStop,8
A,27,A27,0.42,0.60,1.72800000000,TrailingStop,8
A,28,A28,0.45,0.20,-2.53200000000,StopLoss,4
A,29,A29,0.42,0.60,1.72800000000,TrailingStop,8
A,30,A30,0.42,0.60,1.72800000000,TrailingStop,8
A,31,A31,0.42,0.60,1.72800000000,TrailingStop,8
A,32,A32,0.42,0.60,1.72800000000,TrailingStop,8
A,33,A33,0.42,0.60,1.72800000000,TrailingStop,8
A,34,A34,0.42,0.60,1.72800000000,TrailingStop,8
A,35,A35,0.45,0.20,-2.53200000000,StopLoss,4
A,36,A36,0.42,0.60,1.72800000000,TrailingStop,8
A,37,A37,0.42,0.60,1.72800000000,TrailingStop,8
A,38,A38,0.42,0.60,1.72800000000,TrailingStop,8
A,39,A39,0.42,0.60,1.72800000000,TrailingStop,8
A,40,A40,0.42,0.60,1.72800000000,TrailingStop,8
A,41,A41,0.42,0.60,1.72800000000,TrailingStop,8
A,42,A42,0.45,0.20,-2.53200000000,StopLoss,4
A,43,A43,0.42,0.60,1.72800000000,TrailingStop,8
A,44,A44,0.42,0.60,1.72800000000,TrailingStop,8
A,45,A45,0.42,0.60,1.72800000000,TrailingStop,8
A,46,A46,0.42,0.60,1.72800000000,TrailingStop,8
A,47,A47,0.42,0.60,1.72800000000,TrailingStop,8
A,48,A48,0.42,0.60,1.72800000000,TrailingStop,8
A,49,A49,0.45,0.20,-2.53200000000,StopLoss,4
A,50,A50,0.42,0.60,1.72800000000,TrailingStop,8
A,51,A51,0.42,0.60,1.72800000000,TrailingStop,8
A,52,A52,0.42,0.60,1.72800000000,TrailingStop,8
A,53,A53,0.42,0.60,1.72800000000,TrailingStop,8
A,54,A54,0.42,0.60,1.72800000000,TrailingStop,8
A,55,A55,0.42,0.60,1.72800000000,TrailingStop,8
A,56,A56,0.45,0.20,-2.53200000000,StopLoss,4
A,57,A57,0.42,0.60,1.72800000000,TrailingStop,8
A,58,A58,0.42,0.60,1.72800000000,TrailingStop,8
A,59,A59,0.42,0.60,1.72800000000,TrailingStop,8
A,60,A60,0.42,0.60,1.72800000000,TrailingStop,8
A,61,A61,0.42,0.60,1.72800000000,TrailingStop,8
A,62,A62,0.42,0.60,1.72800000000,TrailingStop,8
A,63,A63,0.45,0.20,-2.53200000000,StopLoss,4
A,64,A64,0.42,0.60,1.72800000000,TrailingStop,8
A,65,A65,0.42,0.60,1.72800000000,TrailingStop,8
A,66,A66,0.42,0.60,1.72800000000,TrailingStop,8
A,67,A67,0.42,0.60,1.72800000000,TrailingStop,8
A,68,A68,0.42,0.60,1.72800000000,TrailingStop,8
A,69,A69,0.42,0.60,1.72800000000,TrailingStop,8
B,0,A00,0.45,0.20,-2.53200000000,StopLoss,4
B,1,A01,0.42,0.60,1.72800000000,TrailingStop,8
B,2,A02,0.42,0.60,1.72800000000,TrailingStop,8
B,3,A03,0.42,0.60,1.72800000000,TrailingStop,8
B,4,A04,0.42,0.60,1.72800000000,TrailingStop,8
B,5,A05,0.42,0.60,1.72800000000,TrailingStop,8
B,6,A06,0.42,0.60,1.72800000000,TrailingStop,8
B,7,A07,0.45,0.20,-2.53200000000,StopLoss,4
B,8,A08,0.42,0.60,1.72800000000,TrailingStop,8
B,9,A09,0.42,0.60,1.72800000000,TrailingStop,8
B,10,A10,0.42,0.60,1.72800000000,TrailingStop,8
B,11,A11,0.42,0.60,1.72800000000,TrailingStop,8
B,12,A12,0.42,0.60,1.72800000000,TrailingStop,8
B,13,A13,0.42,0.60,1.72800000000,TrailingStop,8
B,14,A14,0.45,0.20,-2.53200000000,StopLoss,4
B,15,A15,0.42,0.60,1.72800000000,TrailingStop,8
B,16,A16,0.42,0.60,1.72800000000,TrailingStop,8
B,17,A17,0.42,0.60,1.72800000000,TrailingStop,8
B,18,A18,0.42,0.60,1.72800000000,TrailingStop,8
B,19,A19,0.42,0.60,1.72800000000,TrailingStop,8
B,20,A20,0.42,0.60,1.72800000000,TrailingStop,8
B,21,A21,0.45,0.20,-2.53200000000,StopLoss,4
B,22,A22,0.42,0.60,1.72800000000,TrailingStop,8
B,23,A23,0.42,0.60,1.72800000000,TrailingStop,8
B,24,A24,0.42,0.60,1.72800000000,TrailingStop,8
B,25,A25,0.42,0.60,1.72800000000,TrailingStop,8
B,26,A26,0.42,0.60,1.72800000000,TrailingStop,8
B,27,A27,0.42,0.60,1.72800000000,TrailingStop,8
B,28,A28,0.45,0.20,-2.53200000000,StopLoss,4
B,29,A29,0.42,0.60,1.72800000000,TrailingStop,8
B,30,A30,0.42,0.60,1.72800000000,TrailingStop,8
B,31,A31,0.42,0.60,1.72800000000,TrailingStop,8
B,32,A32,0.42,0.60,1.72800000000,TrailingStop,8
B,33,A33,0.42,0.60,1.72800000000,TrailingStop,8
B,34,A34,0.42,0.60,1.72800000000,TrailingStop,8
B,35,A36,0.42,0.60,1.72800000000,TrailingStop,8
B,36,A37,0.42,0.60,1.72800000000,TrailingStop,8
B,37,A38,0.42,0.60,1.72800000000,TrailingStop,8
B,38,A39,0.42,0.60,1.72800000000,TrailingStop,8
B,39,A40,0.42,0.60,1.72800000000,TrailingStop,8
B,40,A41,0.42,0.60,1.72800000000,TrailingStop,8
B,41,A43,0.42,0.60,1.72800000000,TrailingStop,8
B,42,A44,0.42,0.60,1.72800000000,TrailingStop,8
B,43,A45,0.42,0.60,1.72800000000,TrailingStop,8
B,44,A46,0.42,0.60,1.72800000000,TrailingStop,8
B,45,A47,0.42,0.60,1.72800000000,TrailingStop,8
B,46,A48,0.42,0.60,1.72800000000,TrailingStop,8
B,47,A50,0.42,0.60,1.72800000000,TrailingStop,8
B,48,A51,0.42,0.60,1.72800000000,TrailingStop,8
B,49,A52,0.42,0.60,1.72800000000,TrailingStop,8
B,50,A53,0.42,0.60,1.72800000000,TrailingStop,8
B,51,A54,0.42,0.60,1.72800000000,TrailingStop,8
B,52,A55,0.42,0.60,1.72800000000,TrailingStop,8
B,53,A57,0.42,0.60,1.72800000000,TrailingStop,8
B,54,A58,0.42,0.60,1.72800000000,TrailingStop,8
B,55,A59,0.42,0.60,1.72800000000,TrailingStop,8
B,56,A60,0.42,0.60,1.72800000000,TrailingStop,8
B,57,A61,0.42,0.60,1.72800000000,TrailingStop,8
B,58,A62,0.42,0.60,1.72800000000,TrailingStop,8
B,59,A64,0.42,0.60,1.72800000000,TrailingStop,8
B,60,A65,0.42,0.60,1.72800000000,TrailingStop,8
B,61,A66,0.42,0.60,1.72800000000,TrailingStop,8
B,62,A67,0.42,0.60,1.72800000000,TrailingStop,8
B,63,A68,0.42,0.60,1.72800000000,TrailingStop,8
B,64,A69,0.42,0.60,1.72800000000,TrailingStop,8
